604524.080,5096968.290,411.270,2,2,54
604524.140,5096968.340,411.930,2,2,88
604525.640,5096968.450,409.940,2,2,137
604526.250,5096968.270,408.640,2,3,80
604528.150,5096968.290,405.810,3,3,140
604528.280,5096968.320,405.680,2,2,128
604528.450,5096968.530,405.910,3,3,72
604524.090,5096968.400,411.840,2,2,130
604524.200,5096968.400,411.670,2,2,80
604524.290,5096968.410,411.540,3,3,37
604528.210,5096968.400,405.630,4,4,165
604524.470,5096968.360,412.140,2,2,134
604524.560,5096968.420,412.170,2,2,158
604524.680,5096968.330,411.750,2,3,121
604524.740,5096968.030,410.970,3,3,143
604524.820,5096968.220,411.300,1,1,183
604524.930,5096968.180,411.040,1,1,190
604525.050,5096968.140,410.740,3,3,183
604525.100,5096968.380,411.240,3,3,150
604525.510,5096968.030,409.820,3,3,71
604525.620,5096968.070,409.770,2,2,102
604525.630,5096968.500,410.750,2,2,188
604528.330,5096968.400,406.460,3,3,147
604528.440,5096968.470,406.470,3,3,138
604524.110,5096968.230,412.050,2,2,58
604524.600,5096968.420,411.770,2,2,76
604524.730,5096968.320,411.330,1,1,187
604524.810,5096968.420,411.450,1,2,183
604524.940,5096967.770,409.740,2,2,127
604525.330,5096968.070,409.860,3,3,63
604525.470,5096968.410,410.440,1,1,176
604528.310,5096968.300,405.910,2,2,108
604528.380,5096968.460,406.190,1,1,183
604528.960,5096968.400,406.180,1,1,181
604529.050,5096968.470,406.220,2,2,77
604524.080,5096967.960,412.150,3,3,77
604524.480,5096968.130,411.950,2,2,21
604524.550,5096968.270,412.160,3,3,44
604524.660,5096968.270,411.980,3,3,132
604524.730,5096968.410,412.210,3,3,105
604524.820,5096968.490,412.250,2,2,164
604524.980,5096968.290,411.560,1,1,196
604525.060,5096968.410,411.700,2,2,174
604525.170,5096968.390,411.490,2,2,150
604525.250,5096968.480,411.580,2,2,181
604525.450,5096968.090,410.400,3,3,35
604525.540,5096968.200,410.500,3,3,176
604525.580,5096968.490,411.120,1,2,155
604525.700,5096967.950,409.690,2,2,159
604528.440,5096968.250,406.280,2,2,81
604528.550,5096968.280,406.180,3,3,45
604528.720,5096968.500,406.440,2,2,132
604528.850,5096968.500,406.250,1,1,178
604524.200,5096968.210,413.180,2,2,66
604524.760,5096967.990,411.830,3,3,105
604525.070,5096966.840,408.700,3,3,45
604524.940,5096968.080,411.770,3,3,111
604525.040,5096968.150,411.790,2,2,89
604525.140,5096968.170,411.680,2,2,43
604525.420,5096967.420,409.550,2,2,69
604525.520,5096967.400,409.340,3,3,100
604525.510,5096968.500,411.910,2,3,39
604525.660,5096967.830,410.140,3,3,52
604525.670,5096968.220,411.000,4,4,154
604525.940,5096968.020,410.160,2,2,174
604525.990,5096968.260,410.640,2,3,118
604526.100,5096967.820,409.460,3,3,128
604528.430,5096967.920,406.190,1,1,173
604528.540,5096967.980,406.150,2,2,85
604528.730,5096968.160,406.270,2,2,131
604528.830,5096968.200,406.240,3,3,96
604528.910,5096968.340,406.440,2,2,130
604529.230,5096968.520,406.380,3,3,35
604524.200,5096968.340,413.160,2,2,79
604524.350,5096968.010,412.170,3,3,107
604524.730,5096968.250,412.180,3,3,24
604524.850,5096968.150,411.750,3,3,112
604524.950,5096968.190,411.670,3,3,72
604525.030,5096968.280,411.780,3,3,117
604525.130,5096968.310,411.700,2,2,37
604525.230,5096968.380,411.710,3,3,25
604525.330,5096968.420,411.640,3,4,38
604525.430,5096967.960,410.450,4,4,36
604525.610,5096967.680,409.510,4,4,132
604525.620,5096968.090,410.470,4,4,160
604525.710,5096968.170,410.510,3,3,107
604526.010,5096968.380,410.570,3,3,15
604526.980,5096968.130,408.540,2,3,84
604528.340,5096967.970,406.110,3,3,28
604528.460,5096968.000,406.000,2,2,182
604528.520,5096968.150,406.260,1,1,181
604528.650,5096968.160,406.070,2,2,119
604528.830,5096968.380,406.320,2,2,169
604524.530,5096967.870,412.230,2,2,33
604524.620,5096967.950,412.270,2,2,57
604524.910,5096968.150,412.310,3,3,39
604524.990,5096968.230,412.380,3,3,117
604525.330,5096967.020,409.050,2,2,60
604525.460,5096967.040,408.920,2,2,8
604525.590,5096967.490,409.780,3,3,108
604525.700,5096967.460,409.530,3,3,102
604525.710,5096967.900,410.530,3,3,71
604525.780,5096968.130,410.990,3,3,184
604525.910,5096968.030,410.550,2,2,149
604526.000,5096968.110,410.600,1,1,187
604526.080,5096968.200,410.670,3,3,116
604526.210,5096968.120,410.290,3,3,148
604528.460,5096967.690,405.920,2,2,71
604528.530,5096967.830,406.160,2,2,185
604528.730,5096967.990,406.210,2,2,172
604528.860,5096967.980,406.000,2,2,150
604528.930,5096968.140,406.280,2,2,70
604529.110,5096968.320,406.410,3,3,123
604529.250,5096968.330,406.230,2,2,44
604529.460,5096968.420,406.140,3,3,24
604525.090,5096967.660,411.210,1,1,183
604525.350,5096966.900,409.090,2,3,122
604525.520,5096966.080,406.940,3,3,66
604525.390,5096967.260,409.860,2,2,26
604525.480,5096967.330,409.880,2,3,25
604525.790,5096965.840,405.960,3,3,70
604525.590,5096967.370,409.820,2,2,167
604525.690,5096967.440,409.820,2,2,65
604525.910,5096967.900,410.570,3,3,97
604526.000,5096967.990,410.640,2,2,107
604526.100,5096968.070,410.670,3,3,49
604526.200,5096968.110,410.610,3,4,103
604526.300,5096967.680,409.470,4,4,144
604526.320,5096968.500,411.370,3,3,91
604528.580,5096967.600,405.870,3,3,76
604528.650,5096967.750,406.120,3,3,104
604528.780,5096967.740,405.870,2,2,115
